qdate,yield1,yield2,yield3,yield4,yield5
1984-12-31,9.0179215821314,9.7863286488137,10.386175451557,10.651080205328,10.97293520861
1985-01-31,8.8375254602341,9.6800918747691,10.111504269428,10.547910705278,10.582665198517
1985-02-28,9.6762950980438,10.402565576302,10.783053967085,11.261565939243,11.304764827462
1985-03-29,9.5345856723316,10.187871049472,10.631933568777,11.116922805208,11.110845644816
1985-04-30,8.9224053497461,9.7653133419145,10.208652084668,10.719740066053,10.770309258071
1985-05-31,8.048939684552,8.7442799094271,9.2137956183778,9.7138044184393,9.7258783901799
1985-06-28,7.6792820110047,8.5832075529061,9.2425519570228,9.6402970103428,9.7099930370387
1985-07-31,8.1520060878699,8.8353129662698,9.4731017534778,10.005895292042,9.9191301286064
1985-08-30,8.0331600940573,8.8416132820684,9.2066582406026,9.728978019321,9.7101858320208
1985-09-30,8.0225939182487,8.7058694124892,9.1682107376502,9.6553936518036,9.787011472119
1985-10-31,7.7704331846083,8.536428546479,8.8906338203656,9.3025532008792,9.5008729883094
1985-11-29,7.6887736846613,8.2952669375702,8.5783552628478,8.9867574167288,9.1816169036276
1985-12-31,7.4787168702741,7.851847229997,8.1594707443815,8.4353390389968,8.6234159972034
1986-01-31,7.5768364695313,7.827984327535,8.215498500549,8.4625003889123,8.643589396266
1986-02-28,7.3773293102955,7.5448977683537,7.7233323810672,7.8833625400615,8.0299855781787
1986-03-31,6.7910511558486,6.82718271707,7.0842515010059,7.284834726446,7.3760828765897
1986-04-30,6.4968967622015,6.7017592335731,7.1362913753019,7.2679221674914,7.3987108594939
1986-05-30,6.8349378836006,7.3069665388037,7.6372756115038,8.0383782894555,8.0988111834463
1986-06-30,6.4184939935906,6.7734018033599,7.1183431727522,7.447484419158,7.5063895081784
1986-07-31,6.1966106345295,6.4670054788859,7.0451125279637,7.1703644438624,7.3893380186017
1986-08-29,5.4680366089322,5.9330775990873,6.3254594829732,6.5444637776516,6.639905236374
1986-09-30,5.8232413336628,6.3233000551465,6.7220576604474,7.1251392204347,7.2793937813885
1986-10-31,5.6505784130821,6.1533445258625,6.5206652387977,6.7824260221287,7.0527750674371
1986-11-28,5.7317363440328,6.1128591281865,6.3535691379067,6.6248691177627,6.7450986069684
1986-12-31,6.0604718209975,6.2961464300314,6.5048013872281,6.637679206717,6.9131177642918
1987-01-30,5.9048730559186,6.1976592760428,6.4480271115842,6.6589498832711,6.7409671161535
1987-02-27,5.9762812314021,6.2769944726639,6.4507891535464,6.6457636265656,6.7414011380183
1987-03-31,6.1822512641567,6.4512564495392,6.699225296989,6.8535792228526,7.0573809030254
1987-04-30,6.8364308474528,7.2383847708874,7.5722819367534,7.7581149001125,7.8347808540562
1987-05-29,7.0896397596491,7.6051254853457,7.8496878647947,8.010925893155,8.1140301300437
1987-06-30,6.8229829802248,7.3478787879518,7.6332629929295,7.8255168456139,8.0068074636798
1987-07-31,6.9345349715418,7.4847249448347,7.8355315615096,7.9842223214256,8.1301826543785
1987-08-31,7.205127485007,7.8241494294516,8.1442214988925,8.2860672805032,8.4203012320597
1987-09-30,7.8818383118291,8.4403532863505,8.7672330466499,9.0123730594247,9.0954591796205
1987-10-30,6.7135650360805,7.6306360229424,8.0234617171074,8.3211241602564,8.3678561137302
1987-11-30,6.8826005253252,7.5546004501514,7.9651498044386,8.2694318753811,8.4574504625793
1987-12-31,7.2423681789663,7.6386483278018,7.8873794202121,8.1160625589912,8.303570005536
1988-01-29,6.7189360047503,7.137875996293,7.371835033733,7.5784924489819,7.6776778677933
1988-02-29,6.6077265482986,7.0039466699689,7.2380814790512,7.4136291197708,7.5471507997257
1988-03-31,6.8490952767705,7.2779613223964,7.5517255910071,7.7834370571195,7.9721636890889
1988-04-29,7.0907243019684,7.6214941380679,7.8828359739741,8.1230371624474,8.245726379764
1988-05-31,7.6645991278666,8.0527906137216,8.272127811594,8.5198296714969,8.6500179032314
1988-06-30,7.5091343522412,7.8652395476226,8.0357746743294,8.182012386808,8.3095474573477
1988-07-29,7.9041067582353,8.261685323463,8.3813608409517,8.5077556338838,8.5901564099865
1988-08-31,8.2530318405676,8.5294266495493,8.6154552468154,8.745812903337,8.7889190690164
1988-09-30,7.9744380137387,8.2700779339565,8.3679779489764,8.4088660033614,8.492847381617
1988-10-31,7.9018718033151,8.0761552516101,8.1003685657525,8.1800093737518,8.2165918201801
1988-11-30,8.4629005230028,8.6413799336826,8.643903255083,8.7300511141255,8.7285444098735
1988-12-30,8.8960106855275,8.9354297943642,8.9861978105052,8.9910376989154,9.0011164113256
1989-01-31,8.8828058651957,8.9057860199153,8.8641443194326,8.8821062572923,8.8284732363632
1989-02-28,9.3538632676275,9.3107921907798,9.2505708994766,9.2663593290232,9.1553151467089
1989-03-31,9.6211760065904,9.5183570459557,9.4564130811499,9.341146846179,9.2867050886077
1989-04-28,9.0499015351787,9.077034807002,9.0159492995105,8.9621820021681,8.8911538548139
1989-05-31,8.7650437550692,8.6047450089318,8.6104933509513,8.5920125510488,8.5413091881244
1989-06-30,8.1182700036781,7.9054274899257,7.9107931817478,7.8567118230787,7.9387474290759
1989-07-31,7.5978233999261,7.360183840737,7.4519952046462,7.437034437966,7.4377545568233
1989-08-31,8.1126389863195,8.2369646727573,8.180366964082,8.1663510478135,8.1288540391443
1989-09-29,8.3089799884204,8.2925186377457,8.2922426859404,8.2574161273006,8.2234311644713
1989-10-31,7.7460106736705,7.6754875238173,7.7725386182212,7.7744443382528,7.7565291330198
1989-11-30,7.6685237720817,7.5855903621173,7.6323314414389,7.6823926550189,7.6804796155042
1989-12-29,7.7566398109144,7.7349847863164,7.7894563161833,7.7897422671795,7.7600520677058
1990-01-31,8.0755815794855,8.0974306633849,8.1679362768424,8.2146351820825,8.2441270577249
1990-02-28,8.049525968754,8.2403869811697,8.2748686545097,8.3556879247691,8.3723170062683
1990-03-30,8.286990390406,8.4693519373553,8.5420953796967,8.5371789804546,8.5288279119079
1990-04-30,8.5370909251595,8.7488891834999,8.8351751120826,8.9001186011811,8.8790313305085
1990-05-31,8.120903292916,8.3068118111992,8.3622083831426,8.4557829054308,8.4814764443921
1990-06-29,7.9469299314463,8.0437407491435,8.1385550403778,8.2199776435432,8.2681536334503
1990-07-31,7.6679038576388,7.7368650014364,7.8618361644658,7.9511749364144,8.0335849458885
1990-08-31,7.6200230895146,7.8947359809572,8.1132767747659,8.3239415137952,8.4526731966251
1990-09-28,7.5836557088046,7.8566112753453,8.0426159469453,8.2553452473396,8.3870315563412
1990-10-31,7.4552644508004,7.6019975323137,7.8062557580363,8.0230309131313,8.1598152866391
1990-11-30,7.3323201766656,7.3644277903752,7.5499167343857,7.756108633206,7.8632016860921
1990-12-31,6.9183138741689,7.0543498828013,7.3069606009037,7.4695882793322,7.6557413244701
1991-01-31,6.6086880349203,6.9199640557974,7.1621202633567,7.435174850121,7.5225940972441
1991-02-28,6.4967506018123,6.9035941208046,7.1583339782988,7.4476763841056,7.561684130534
1991-03-28,6.3522055425463,6.9639544399167,7.2279489413346,7.5350001735039,7.7263140116679
1991-04-30,6.1841539487171,6.675843868361,7.0622079757707,7.4165232132036,7.5426004284871
1991-05-31,6.2566382238439,6.7634697645083,7.0445856344766,7.4487281814962,7.6124001832903
1991-06-28,6.3128300191921,6.8527902879684,7.2950870531186,7.6769690800589,7.8623743233659
1991-07-31,6.1584621701079,6.6894975291676,7.1091471484685,7.5137254875078,7.7045266194188
1991-08-30,5.6441372511861,6.3012612998045,6.6515460932058,7.0922657364436,7.2971563252242
1991-09-30,5.3706024214422,5.9249133289459,6.3168770154719,6.724580134042,6.862613677575
1991-10-31,5.1536828116642,5.6118922725293,6.0718361216842,6.5185562873523,6.7035401699639
1991-11-29,4.7892390003065,5.3549965594758,5.7918571139053,6.3545901966717,6.5865582530667
1991-12-31,4.1713708371474,4.7299874315549,5.1765744739433,5.7887439014393,5.9170644835428
1992-01-31,4.3389242513815,5.039527398095,5.7480782307838,6.2464176106395,6.4212593099831
1992-02-28,4.4011942885658,5.2366389888416,5.8189771634931,6.3670120237129,6.6494859180457
1992-03-31,4.6093077105364,5.5632064659807,6.2444089221929,6.7451804783122,6.9148832142338
1992-04-30,4.3759358940556,5.397829280947,6.0713335599201,6.6071010534608,6.917198108878
1992-05-29,4.2689061251804,5.1726060416012,5.8008999335711,6.304304838935,6.684639867876
1992-06-30,4.0634661195689,4.7989376861597,5.4531144540443,5.9951010947287,6.3080136272457
1992-07-31,3.5797261433243,4.3670790593913,5.0015909337684,5.5607987367986,5.8434479415673
1992-08-31,3.4358017793285,4.1088866536915,4.7419288693847,5.340091365867,5.6260441099496
1992-09-30,3.1051522547815,3.7741799067788,4.4036849266933,4.9763963067799,5.3553893357696
1992-10-30,3.605675623013,4.4576351824329,5.0689250492344,5.6565078353949,6.0171921835572
1992-11-30,3.9221489328058,4.7392493218249,5.4286401130078,5.9667257473018,6.2439623367727
1992-12-31,3.6506420836255,4.4998640529383,5.210674813901,5.6808813771981,6.0510641684651
1993-01-29,3.4456307553509,4.2104822774162,4.7790177344185,5.2310579809517,5.6668540485127
1993-02-26,3.3107644184969,3.9148570511362,4.417730366514,4.9420470095626,5.3093444327193
1993-03-31,3.3524016004567,3.9152906840147,4.4909227693558,4.9588334505724,5.2473229962384
1993-04-30,3.2968132434125,3.785773072173,4.3444582887525,4.8372809340658,5.1522374344506
1993-05-28,3.6308509610026,4.1803948589349,4.6611022692048,5.0700067451248,5.3966100786926
1993-06-30,3.4996761164184,3.9825269769978,4.3967182740905,4.746635768736,5.0519641658033
1993-07-30,3.4946420143513,4.1004860923879,4.5288354223,4.8308228969256,5.1999316970332
1993-08-31,3.3533376122161,3.8326325373662,4.2245166231354,4.4925245998124,4.7949884452906
1993-09-30,3.3733980080563,3.8478142125157,4.1997691123636,4.5454705808469,4.7768913421123
1993-10-29,3.4566423936689,3.9367241031197,4.2967499921688,4.5947335235255,4.8116439916564
1993-11-30,3.6317487761414,4.1707394333049,4.5324534966128,4.905703107923,5.1442443518827
1993-12-31,3.6361872031836,4.2022812182481,4.4643502765333,4.9421827689781,5.2094498037985
1994-01-31,3.5166786665618,4.0766424956377,4.4345951144186,4.7429068533999,5.0149416636111
1994-02-28,4.0625816062233,4.6340503745861,5.0209000130941,5.3469662026037,5.5898557269121
1994-03-31,4.4766079250248,5.1650745114635,5.6615832465049,5.9799448958066,6.202112006163
1994-04-29,4.9973444444648,5.6714422114052,6.1101062663653,6.4203085484863,6.5865306838576
1994-05-31,5.2972460190521,5.9247122676083,6.3170579108229,6.5547403539195,6.7216382925194
1994-06-30,5.4271171281149,6.0816603144868,6.3877102725604,6.7340179156336,6.9164880767743
1994-07-29,5.3043118530144,5.9025403393551,6.2158690829751,6.4898461521996,6.6687886291128
1994-08-31,5.4653818866514,6.0817751397219,6.3621847593223,6.5788407292364,6.749584255357
1994-09-30,5.8795051079987,6.4927512394345,6.7912585564619,7.0395902501635,7.2129489827151
1994-10-31,6.0434551878278,6.7297840161134,7.0169588655903,7.2421729544279,7.4042152960302
1994-11-30,6.8366160692975,7.2581081361481,7.5129348888863,7.6132346562375,7.667619779783
1994-12-30,7.1418003242015,7.4959326322206,7.6708811489235,7.6953334028864,7.6679048139508
1995-01-31,6.7433813655758,7.121619900264,7.3100669244322,7.3865064883414,7.414269183498
1995-02-28,6.339897673448,6.6615138169296,6.8067570598185,6.9007447186224,6.9538424375153
1995-03-31,6.349287514513,6.6673852784316,6.8208539740591,6.9175855218627,6.9678580962801
1995-04-28,6.2002443603728,6.4588000260547,6.6182673498818,6.7298205543896,6.7633581069
1995-05-31,5.6968874313205,5.7759131090367,5.8745754955918,5.9548524137228,5.9915436781331
1995-06-30,5.5517830054773,5.7037081276715,5.8015918465188,5.9003846234227,5.8900844253526
